#Don't put as such on the web, use as private communication only!!
#authors of compilatio
# G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-AprilA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#      (Huhtinen, Summers)
#E_p [MeV] D/(95MeVmb)
5.355E+03 5.5895E-01
5.365E+03 5.5789E-01
5.375E+03 5.5789E-01
5.385E+03 5.5789E-01
5.395E+03 5.5789E-01
5.405E+03 5.5789E-01
5.415E+03 5.5789E-01
5.425E+03 5.5789E-01
5.435E+03 5.5684E-01
5.445E+03 5.5684E-01
5.455E+03 5.5684E-01
5.465E+03 5.5684E-01
5.475E+03 5.5684E-01
5.485E+03 5.5684E-01
5.495E+03 5.5684E-01
5.505E+03 5.5684E-01
5.515E+03 5.5579E-01
5.525E+03 5.5579E-01
5.535E+03 5.5579E-01
5.545E+03 5.5579E-01
5.555E+03 5.5579E-01
5.565E+03 5.5579E-01
5.575E+03 5.5579E-01
5.585E+03 5.5474E-01
5.595E+03 5.5474E-01
5.605E+03 5.5474E-01
5.615E+03 5.5474E-01
5.625E+03 5.5474E-01
5.635E+03 5.5474E-01
5.645E+03 5.5474E-01
5.655E+03 5.5368E-01
5.665E+03 5.5368E-01
5.675E+03 5.5368E-01
5.685E+03 5.5368E-01
5.695E+03 5.5368E-01
5.705E+03 5.5368E-01
5.715E+03 5.5368E-01
5.725E+03 5.5368E-01
5.735E+03 5.5263E-01
5.745E+03 5.5263E-01
5.755E+03 5.5263E-01
5.765E+03 5.5263E-01
5.775E+03 5.5263E-01
5.785E+03 5.5263E-01
5.795E+03 5.5263E-01
5.805E+03 5.5158E-01
5.815E+03 5.5158E-01
5.825E+03 5.5158E-01
5.835E+03 5.5158E-01
5.845E+03 5.5158E-01
5.855E+03 5.5158E-01
5.865E+03 5.5158E-01
5.875E+03 5.5053E-01
5.885E+03 5.5053E-01
5.895E+03 5.5053E-01
5.905E+03 5.5053E-01
5.915E+03 5.5053E-01
5.925E+03 5.5053E-01
5.935E+03 5.5053E-01
5.945E+03 5.5053E-01
5.955E+03 5.4947E-01
5.965E+03 5.4947E-01
5.975E+03 5.4947E-01
5.985E+03 5.4947E-01
5.995E+03 5.4947E-01
6.005E+03 5.4947E-01
6.015E+03 5.4947E-01
6.025E+03 5.4842E-01
6.035E+03 5.4842E-01
6.045E+03 5.4842E-01
6.055E+03 5.4842E-01
6.065E+03 5.4842E-01
6.075E+03 5.4842E-01
6.085E+03 5.4842E-01
6.095E+03 5.4737E-01
6.105E+03 5.4737E-01
6.115E+03 5.4737E-01
6.125E+03 5.4737E-01
6.135E+03 5.4737E-01
6.145E+03 5.4737E-01
6.155E+03 5.4737E-01
6.165E+03 5.4737E-01
6.175E+03 5.4632E-01
6.185E+03 5.4632E-01
6.195E+03 5.4632E-01
6.205E+03 5.4632E-01
6.215E+03 5.4632E-01
6.225E+03 5.4632E-01
6.235E+03 5.4632E-01
6.245E+03 5.4526E-01
6.255E+03 5.4526E-01
6.265E+03 5.4526E-01
6.275E+03 5.4526E-01
6.285E+03 5.4526E-01
6.295E+03 5.4526E-01
6.305E+03 5.4526E-01
6.315E+03 5.4526E-01
6.325E+03 5.4421E-01
6.335E+03 5.4421E-01
6.345E+03 5.4421E-01
6.355E+03 5.4421E-01
6.365E+03 5.4421E-01
6.375E+03 5.4421E-01
6.385E+03 5.4421E-01
6.395E+03 5.4316E-01
6.405E+03 5.4316E-01
6.415E+03 5.4316E-01
6.425E+03 5.4316E-01
6.435E+03 5.4316E-01
6.445E+03 5.4316E-01
6.455E+03 5.4316E-01
6.465E+03 5.4316E-01
6.475E+03 5.4211E-01
6.485E+03 5.4211E-01
6.495E+03 5.4211E-01
6.505E+03 5.4211E-01
6.515E+03 5.4211E-01
6.525E+03 5.4211E-01
6.535E+03 5.4211E-01
6.545E+03 5.4105E-01
6.555E+03 5.4105E-01
6.565E+03 5.4105E-01
6.575E+03 5.4105E-01
6.585E+03 5.4105E-01
6.595E+03 5.4105E-01
6.605E+03 5.4105E-01
6.615E+03 5.4105E-01
6.625E+03 5.4000E-01
6.635E+03 5.4000E-01
6.645E+03 5.4000E-01
6.655E+03 5.4000E-01
6.665E+03 5.4000E-01
6.675E+03 5.4000E-01
6.685E+03 5.4000E-01
6.695E+03 5.3895E-01
6.705E+03 5.3895E-01
6.715E+03 5.3895E-01
6.725E+03 5.3895E-01
6.735E+03 5.3895E-01
6.745E+03 5.3895E-01
6.755E+03 5.3895E-01
6.765E+03 5.3895E-01
6.775E+03 5.3789E-01
6.785E+03 5.3789E-01
6.795E+03 5.3789E-01
6.805E+03 5.3789E-01
6.815E+03 5.3789E-01
6.825E+03 5.3789E-01
6.835E+03 5.3789E-01
6.845E+03 5.3684E-01
6.855E+03 5.3684E-01
6.865E+03 5.3684E-01
6.875E+03 5.3684E-01
6.885E+03 5.3684E-01
6.895E+03 5.3684E-01
6.905E+03 5.3684E-01
6.915E+03 5.3684E-01
6.925E+03 5.3579E-01
6.935E+03 5.3579E-01
6.945E+03 5.3579E-01
6.955E+03 5.3579E-01
6.965E+03 5.3579E-01
6.975E+03 5.3579E-01
6.985E+03 5.3579E-01
6.995E+03 5.3474E-01
7.005E+03 5.3474E-01
7.015E+03 5.3474E-01
7.025E+03 5.3474E-01
7.035E+03 5.3474E-01
7.045E+03 5.3474E-01
7.055E+03 5.3474E-01
7.065E+03 5.3474E-01
7.075E+03 5.3368E-01
7.085E+03 5.3368E-01
7.095E+03 5.3368E-01
7.105E+03 5.3368E-01
7.115E+03 5.3368E-01
7.125E+03 5.3368E-01
7.135E+03 5.3368E-01
7.145E+03 5.3263E-01
7.155E+03 5.3263E-01
7.165E+03 5.3263E-01
7.175E+03 5.3263E-01
7.185E+03 5.3263E-01
7.195E+03 5.3263E-01
7.205E+03 5.3263E-01
7.215E+03 5.3263E-01
7.225E+03 5.3158E-01
7.413E+03 5.3158E-01
7.245E+03 5.3158E-01
7.255E+03 5.3158E-01
7.265E+03 5.3158E-01
7.275E+03 5.3158E-01
7.285E+03 5.3158E-01
7.295E+03 5.3158E-01
7.305E+03 5.3053E-01
7.315E+03 5.3053E-01
7.325E+03 5.3053E-01
7.335E+03 5.3053E-01
7.345E+03 5.3053E-01
7.355E+03 5.3053E-01
7.365E+03 5.3053E-01
7.375E+03 5.2947E-01
7.385E+03 5.2947E-01
7.395E+03 5.2947E-01
7.405E+03 5.2947E-01
7.415E+03 5.2947E-01
7.425E+03 5.2947E-01
7.435E+03 5.2947E-01
7.445E+03 5.2947E-01
7.455E+03 5.2842E-01
7.465E+03 5.2842E-01
7.475E+03 5.2842E-01
7.485E+03 5.2842E-01
7.495E+03 5.2842E-01
7.505E+03 5.2842E-01
7.515E+03 5.2842E-01
7.525E+03 5.2842E-01
7.535E+03 5.2737E-01
7.545E+03 5.2737E-01
7.555E+03 5.2737E-01
7.565E+03 5.2737E-01
7.575E+03 5.2737E-01
7.585E+03 5.2737E-01
7.595E+03 5.2737E-01
7.605E+03 5.2632E-01
7.615E+03 5.2632E-01
7.625E+03 5.2632E-01
7.635E+03 5.2632E-01
7.645E+03 5.2632E-01
7.655E+03 5.2632E-01
7.665E+03 5.2632E-01
7.675E+03 5.2632E-01
7.685E+03 5.2526E-01
7.695E+03 5.2526E-01
7.705E+03 5.2526E-01
7.715E+03 5.2526E-01
7.725E+03 5.2526E-01
7.735E+03 5.2526E-01
7.745E+03 5.2526E-01
7.755E+03 5.2526E-01
7.765E+03 5.2421E-01
7.775E+03 5.2421E-01
7.785E+03 5.2421E-01
7.795E+03 5.2421E-01
7.805E+03 5.2421E-01
7.815E+03 5.2421E-01
7.825E+03 5.2421E-01
7.835E+03 5.2421E-01
7.845E+03 5.2316E-01
7.855E+03 5.2316E-01
7.865E+03 5.2316E-01
7.875E+03 5.2316E-01
7.885E+03 5.2316E-01
7.895E+03 5.2316E-01
7.905E+03 5.2316E-01
7.915E+03 5.2211E-01
7.925E+03 5.2211E-01
7.935E+03 5.2211E-01
7.945E+03 5.2211E-01
7.955E+03 5.2211E-01
7.965E+03 5.2211E-01
7.975E+03 5.2211E-01
7.985E+03 5.2211E-01
7.995E+03 5.2105E-01
8.005E+03 5.2105E-01
8.015E+03 5.2105E-01
8.025E+03 5.2105E-01
8.035E+03 5.2105E-01
8.045E+03 5.2105E-01
8.055E+03 5.2105E-01
8.065E+03 5.2105E-01
8.075E+03 5.2000E-01
8.085E+03 5.2000E-01
8.095E+03 5.2000E-01
8.105E+03 5.2000E-01
8.115E+03 5.2000E-01
8.125E+03 5.2000E-01
8.135E+03 5.2000E-01
8.145E+03 5.2000E-01
8.155E+03 5.1895E-01
8.165E+03 5.1895E-01
8.175E+03 5.1895E-01
8.185E+03 5.1895E-01
8.195E+03 5.1895E-01
8.205E+03 5.1895E-01
8.215E+03 5.1895E-01
8.225E+03 5.1789E-01
8.235E+03 5.1789E-01
8.245E+03 5.1789E-01
8.255E+03 5.1789E-01
8.265E+03 5.1789E-01
8.275E+03 5.1789E-01
8.285E+03 5.1789E-01
8.295E+03 5.1789E-01
8.305E+03 5.1684E-01
8.315E+03 5.1684E-01
8.325E+03 5.1684E-01
8.335E+03 5.1684E-01
8.345E+03 5.1684E-01
8.355E+03 5.1684E-01
8.365E+03 5.1684E-01
8.375E+03 5.1684E-01
8.385E+03 5.1579E-01
8.395E+03 5.1579E-01
8.405E+03 5.1579E-01
8.415E+03 5.1579E-01
8.425E+03 5.1579E-01
8.435E+03 5.1579E-01
8.445E+03 5.1579E-01
8.455E+03 5.1579E-01
8.465E+03 5.1474E-01
