#Don't put as such on the web! this is private communication only!!
#source of compilatio
#G. Lindstroem, IInd Inst. Exp. Phys., Univ. of Hamburg, Germany
#last update: 
#30-ApriA. Vasilescu, Appl. Nucl. Phys. Dpt., INPE, Bucharest, Romania
#
#Ekin [MeV]D/95MeVmb
 6.835E+03 4.084E-01
 6.845E+03 4.084E-01
 6.855E+03 4.084E-01
 6.865E+03 4.084E-01
 6.875E+03 4.084E-01
 6.885E+03 4.084E-01
 6.895E+03 4.084E-01
 6.905E+03 4.084E-01
 6.915E+03 4.074E-01
 6.925E+03 4.074E-01
 6.935E+03 4.074E-01
 6.945E+03 4.074E-01
 6.955E+03 4.074E-01
 6.965E+03 4.074E-01
 6.975E+03 4.074E-01
 6.985E+03 4.063E-01
 6.995E+03 4.063E-01
 7.005E+03 4.063E-01
 7.015E+03 4.063E-01
 7.025E+03 4.063E-01
 7.035E+03 4.063E-01
 7.045E+03 4.063E-01
 7.055E+03 4.063E-01
 7.065E+03 4.053E-01
 7.075E+03 4.053E-01
 7.085E+03 4.053E-01
 7.095E+03 4.053E-01
 7.105E+03 4.053E-01
 7.115E+03 4.053E-01
 7.125E+03 4.053E-01
 7.135E+03 4.042E-01
 7.145E+03 4.042E-01
 7.155E+03 4.042E-01
 7.165E+03 4.042E-01
 7.175E+03 4.042E-01
 7.185E+03 4.042E-01
 7.195E+03 4.042E-01
 7.205E+03 4.042E-01
 7.215E+03 4.032E-01
 7.225E+03 4.032E-01
 7.235E+03 4.032E-01
 7.245E+03 4.032E-01
 7.255E+03 4.032E-01
 7.265E+03 4.032E-01
 7.275E+03 4.032E-01
 7.285E+03 4.021E-01
 7.295E+03 4.021E-01
 7.305E+03 4.021E-01
 7.315E+03 4.021E-01
 7.325E+03 4.021E-01
 7.335E+03 4.021E-01
 7.345E+03 4.021E-01
 7.355E+03 4.021E-01
 7.365E+03 4.011E-01
 7.375E+03 4.011E-01
 7.385E+03 4.011E-01
 7.395E+03 4.011E-01
 7.405E+03 4.011E-01
 7.415E+03 4.011E-01
 7.425E+03 4.011E-01
 7.435E+03 4.000E-01
 7.445E+03 4.000E-01
 7.455E+03 4.000E-01
 7.465E+03 4.000E-01
 7.475E+03 4.000E-01
 7.485E+03 4.000E-01
 7.495E+03 4.000E-01
 7.505E+03 4.000E-01
 7.515E+03 3.989E-01
 7.525E+03 3.989E-01
 7.535E+03 3.989E-01
 7.545E+03 3.989E-01
 7.555E+03 3.989E-01
 7.565E+03 3.989E-01
 7.575E+03 3.989E-01
 7.585E+03 3.979E-01
 7.595E+03 3.979E-01
 7.605E+03 3.979E-01
 7.615E+03 3.979E-01
 7.625E+03 3.979E-01
 7.635E+03 3.979E-01
 7.645E+03 3.979E-01
 7.655E+03 3.979E-01
 7.665E+03 3.968E-01
 7.675E+03 3.968E-01
 7.685E+03 3.968E-01
 7.695E+03 3.968E-01
 7.705E+03 3.968E-01
 7.715E+03 3.968E-01
 7.725E+03 3.968E-01
 7.735E+03 3.968E-01
 7.745E+03 3.958E-01
 7.755E+03 3.958E-01
 7.765E+03 3.958E-01
 7.775E+03 3.958E-01
 7.785E+03 3.958E-01
 7.795E+03 3.958E-01
 7.805E+03 3.958E-01
 7.815E+03 3.947E-01
 7.825E+03 3.947E-01
 7.835E+03 3.947E-01
 7.845E+03 3.947E-01
 7.855E+03 3.947E-01
 7.865E+03 3.947E-01
 7.875E+03 3.947E-01
 7.885E+03 3.947E-01
 7.895E+03 3.937E-01
 7.905E+03 3.937E-01
 7.915E+03 3.937E-01
 7.925E+03 3.937E-01
 7.935E+03 3.937E-01
 7.945E+03 3.937E-01
 7.955E+03 3.937E-01
 7.965E+03 3.937E-01
 7.975E+03 3.926E-01
 7.985E+03 3.926E-01
 7.995E+03 3.926E-01
 8.005E+03 3.926E-01
 8.015E+03 3.926E-01
 8.025E+03 3.926E-01
 8.035E+03 3.926E-01
 8.045E+03 3.926E-01
 8.055E+03 3.916E-01
 8.065E+03 3.916E-01
 8.075E+03 3.916E-01
 8.085E+03 3.916E-01
 8.095E+03 3.916E-01
 8.105E+03 3.916E-01
 8.115E+03 3.916E-01
 8.125E+03 3.905E-01
 8.135E+03 3.905E-01
 8.145E+03 3.905E-01
 8.155E+03 3.905E-01
 8.165E+03 3.905E-01
 8.175E+03 3.905E-01
 8.185E+03 3.905E-01
 8.195E+03 3.905E-01
 8.205E+03 3.895E-01
 8.215E+03 3.895E-01
 8.225E+03 3.895E-01
 8.235E+03 3.895E-01
 8.245E+03 3.895E-01
 8.255E+03 3.895E-01
 8.265E+03 3.895E-01
 8.275E+03 3.895E-01
 8.285E+03 3.884E-01
 8.295E+03 3.884E-01
 8.305E+03 3.884E-01
 8.315E+03 3.884E-01
 8.325E+03 3.884E-01
 8.335E+03 3.884E-01
 8.345E+03 3.884E-01
 8.355E+03 3.884E-01
 8.365E+03 3.874E-01
 8.375E+03 3.874E-01
 8.385E+03 3.874E-01
 8.395E+03 3.874E-01
 8.405E+03 3.874E-01
 8.415E+03 3.874E-01
 8.425E+03 3.874E-01
 8.435E+03 3.874E-01
 8.445E+03 3.863E-01
 8.455E+03 3.863E-01
 8.465E+03 3.863E-01
 8.475E+03 3.863E-01
 8.485E+03 3.863E-01
 8.495E+03 3.863E-01
 8.505E+03 3.863E-01
 8.515E+03 3.863E-01
 8.525E+03 3.853E-01
 8.535E+03 3.853E-01
 8.545E+03 3.853E-01
 8.555E+03 3.853E-01
 8.565E+03 3.853E-01
 8.575E+03 3.853E-01
 8.585E+03 3.853E-01
 8.595E+03 3.853E-01
 8.605E+03 3.842E-01
 8.615E+03 3.842E-01
 8.625E+03 3.842E-01
 8.635E+03 3.842E-01
 8.645E+03 3.842E-01
 8.655E+03 3.842E-01
 8.665E+03 3.842E-01
 8.675E+03 3.832E-01
 8.685E+03 3.832E-01
 8.695E+03 3.832E-01
 8.705E+03 3.832E-01
 8.715E+03 3.832E-01
 8.725E+03 3.832E-01
 8.735E+03 3.832E-01
 8.745E+03 3.832E-01
 8.755E+03 3.821E-01
 8.765E+03 3.821E-01
