# Optical properties of quartz Spectrasil2000
# Number of elements: 
880
# PhotonEnergy [eV]   AbsorptionLength [cm]   RefractionIndex
            1.41047                 17189.1           1.45206
            1.40886                 13874.6           1.45204
            1.40726                   15111           1.45203
            1.40567                   19363           1.45201
            1.40408                 13213.8             1.452
            1.40249                   14687           1.45198
             1.4009                   16695           1.45197
            1.39932                 14027.5           1.45195
            1.39775                 14509.7           1.45194
            1.39617                 15573.7           1.45192
             1.3946                 18332.7           1.45191
            1.39303                 16113.4           1.45189
            1.39147                 17355.2           1.45188
            1.38991                 22495.4           1.45187
            1.38835                 17337.1           1.45185
             1.3868                 16546.3           1.45184
            1.38525                 19030.4           1.45182
            1.38371                   16987           1.45181
            1.38216                 13242.3           1.45179
            1.38062                 14086.8           1.45178
            1.37909                 14707.3           1.45176
            1.37756                 13591.2           1.45175
            1.37603                 13847.8           1.45174
             1.3745                 18862.8           1.45172
            1.37298                 18643.6           1.45171
            1.37146                 22270.5           1.45169
            1.36994                 18774.5           1.45168
            1.36843                 23287.1           1.45167
            1.36692                 21680.1           1.45165
            1.36542                 22465.1           1.45164
            1.36392                 19084.6           1.45162
            1.36242                 19319.9           1.45161
            1.36092                 25968.8            1.4516
            1.35943                 21299.3           1.45158
            1.35794                 20637.2           1.45157
            1.35646                 31844.8           1.45155
            1.35497                 33594.5           1.45154
            1.35349                 23981.6           1.45153
            1.35202                 16845.3           1.45151
            1.35054                 30650.1            1.4515
            1.34908                 31902.9           1.45148
            1.34761                 28235.8           1.45147
            1.34615                 14356.7           1.45146
            1.34469                 8609.41           1.45144
            1.34323                 6346.16           1.45143
            1.34177                 5238.78           1.45141
            1.34032                 4075.02            1.4514
            1.33888                 3234.15           1.45139
